timestamp,name,utilization.gpu,memory.used,memory.total
2026/04/24 01:51:54.120, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:55.121, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:56.124, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:51:57.125, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:58.126, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:51:59.127, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:52:00.129, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:52:01.130, NVIDIA TITAN RTX, 38, 12505, 24576
2026/04/24 01:52:02.132, NVIDIA TITAN RTX, 90, 12505, 24576
2026/04/24 01:52:03.133, NVIDIA TITAN RTX, 54, 12505, 24576
2026/04/24 01:52:04.134, NVIDIA TITAN RTX, 29, 12505, 24576
2026/04/24 01:52:05.135, NVIDIA TITAN RTX, 33, 12505, 24576
2026/04/24 01:52:06.137, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:07.138, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:52:08.139, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:09.140, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:10.142, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:52:11.144, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:12.145, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:13.146, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:14.148, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:15.149, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:16.150, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:52:17.151, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:18.154, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:19.155, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:20.156, NVIDIA TITAN RTX, 36, 12505, 24576
2026/04/24 01:52:21.157, NVIDIA TITAN RTX, 37, 12505, 24576
2026/04/24 01:52:22.158, NVIDIA TITAN RTX, 37, 12505, 24576
